50;Zaragoza
;
49;Zamora
;
47;Valladolid
;
46;València/Valencia
;
45;Toledo
;
44;Teruel
;
43;Tarragona
;
42;Soria
;
41;Sevilla
;
40;Segovia
;
38;Santa Cruz de Tenerife
;
37;Salamanca
;
36;Pontevedra
;
34;Palencia
;
32;Ourense
;
31;Navarra
;
30;Murcia
;
52;Melilla
;
29;Málaga
;
28;Madrid
;
27;Lugo
;
25;Lleida
;
24;León
;
35;Las Palmas
;
26;La Rioja
;
23;Jaén
;
7;Illes Balears
;
22;Huesca
;
21;Huelva
;
19;Guadalajara
;
18;Granada
;
17;Girona
;
20;Gipuzkoa
;
16;Cuenca
;
14;Córdoba
;
13;Ciudad Real
;
51;Ceuta
;
12;Castelló/Castellón
;
39;Cantabria
;
11;Cádiz
;
10;Cáceres
;
9;Burgos
;
48;Bizkaia
;
8;Barcelona
;
6;Badajoz
;
5;Ávila
;
33;Asturias
;
1;Araba/Álava
;
4;Almería
;
2;Albacete
;
3;Alacant/Alicante
;
15;A Coruña
